batch_size: 200, epochs: 10, hidden: 200, rho: 9.000000e-01, decay: 9.900000e-01
eta, lambda, accuracy, cost
4.328003e-03, 8.833695e-03, 2.477522e+01, 2.014694e+00
3.533055e-02, 2.354334e-12, 4.415584e+01, 1.567703e+00
1.409843e-02, 5.800517e-14, 4.085914e+01, 1.708648e+00
7.714625e-03, 4.942326e-08, 3.266733e+01, 1.864435e+00
1.098780e-02, 5.226031e-08, 3.686314e+01, 1.776846e+00
3.319734e-02, 2.509719e-07, 4.395604e+01, 1.585406e+00
8.641610e-03, 2.535221e-12, 3.336663e+01, 1.834743e+00
7.452667e-02, 8.924918e-04, 4.355644e+01, 1.688629e+00
3.977759e-03, 7.627302e-13, 2.397602e+01, 2.020684e+00
9.324828e-02, 1.093887e-15, 4.315684e+01, 1.873278e+00
2.697495e-02, 5.466045e-04, 4.225774e+01, 1.592061e+00
6.473265e-03, 2.138653e-12, 3.086913e+01, 1.902686e+00
5.037031e-03, 1.799425e-10, 2.757243e+01, 1.963825e+00
8.058957e-03, 8.252445e-05, 3.266733e+01, 1.852687e+00
4.130483e-02, 5.756902e-09, 4.425574e+01, 1.585153e+00
4.128068e-02, 3.059461e-05, 4.445554e+01, 1.586026e+00
2.211020e-02, 1.287083e-04, 4.305694e+01, 1.622584e+00
2.950395e-02, 1.608037e-12, 4.325674e+01, 1.588203e+00
2.496551e-03, 1.014542e-06, 2.107892e+01, 2.150547e+00
3.094388e-02, 5.976699e-10, 4.365634e+01, 1.580019e+00
9.303698e-02, 6.891742e-02, 2.577423e+01, 2.002248e+00
2.092609e-03, 4.554875e-08, 2.097902e+01, 2.197951e+00
1.799458e-03, 8.162592e-12, 1.928072e+01, 2.241874e+00
3.014012e-03, 2.562145e-04, 2.287712e+01, 2.088279e+00
6.274022e-03, 3.334976e-09, 3.026973e+01, 1.908434e+00
9.343950e-02, 1.021630e-15, 4.335664e+01, 1.921873e+00
5.192811e-03, 5.618589e-15, 2.777223e+01, 1.952890e+00
2.947211e-03, 8.828990e-13, 2.237762e+01, 2.094865e+00
1.116941e-02, 1.636247e-13, 3.696304e+01, 1.771311e+00
8.923428e-03, 1.341030e-12, 3.416583e+01, 1.823222e+00
4.454021e-02, 9.584037e-12, 4.565435e+01, 1.578185e+00
6.593447e-03, 9.559336e-12, 3.146853e+01, 1.898060e+00
3.432173e-02, 9.687815e-08, 4.475524e+01, 1.570753e+00
1.531928e-02, 1.822017e-08, 4.155844e+01, 1.686622e+00
2.036661e-03, 6.858926e-02, 1.898102e+01, 2.269755e+00
2.215841e-02, 1.509763e-13, 4.305694e+01, 1.612023e+00
5.496816e-02, 1.122848e-09, 4.455544e+01, 1.611099e+00
1.978501e-02, 2.595386e-04, 4.245754e+01, 1.641605e+00
4.627488e-02, 8.201357e-02, 2.707293e+01, 2.019777e+00
3.185686e-02, 5.285241e-04, 4.385614e+01, 1.579763e+00
9.153360e-03, 6.359658e-15, 3.466533e+01, 1.819002e+00
5.549260e-03, 2.378807e-11, 2.857143e+01, 1.938622e+00
1.874996e-03, 1.189850e-11, 1.988012e+01, 2.229539e+00
3.127763e-02, 9.297736e-03, 4.235764e+01, 1.645492e+00
1.564867e-02, 1.545129e-03, 4.185814e+01, 1.692753e+00
2.512024e-02, 2.440138e-07, 4.255744e+01, 1.595954e+00
2.288354e-03, 1.137562e-04, 2.157842e+01, 2.167334e+00
1.995245e-03, 1.842463e-13, 1.968032e+01, 2.209859e+00
1.680694e-02, 2.016741e-12, 4.235764e+01, 1.667079e+00
4.199473e-02, 7.636391e-03, 4.265734e+01, 1.609757e+00
6.311176e-03, 8.986002e-07, 3.026973e+01, 1.909665e+00
1.763080e-03, 8.575520e-10, 1.968032e+01, 2.242941e+00
4.275092e-03, 1.277021e-10, 2.547453e+01, 1.999627e+00
1.125436e-02, 2.616950e-06, 3.656344e+01, 1.767182e+00
2.537657e-03, 1.889561e-15, 2.137862e+01, 2.136216e+00
1.030682e-03, 2.961793e-05, 1.858142e+01, 2.297555e+00
6.920353e-02, 5.176608e-08, 4.375624e+01, 1.715089e+00
5.542755e-02, 5.025808e-05, 4.425574e+01, 1.617139e+00
9.564510e-02, 3.586390e-07, 4.525475e+01, 1.834314e+00
9.930649e-02, 8.530144e-05, 4.295704e+01, 1.938027e+00
1.350621e-03, 1.628814e-13, 1.668332e+01, 2.287030e+00
2.173013e-03, 1.048177e-04, 1.998002e+01, 2.190796e+00
2.281708e-02, 1.682201e-09, 4.295704e+01, 1.607096e+00
2.024676e-02, 1.654240e-12, 4.205794e+01, 1.631612e+00
