batch size: 200, eta: 0.0449, epochs: 30, lambda: 4.419090e-09, nodes: 50, rho: 0.90, eta_decay: 0.95
Accuracy (Test), Cost (Test), Accuracy (Train), Cost (train)
4.195804e-01,1.650829e+00,4.172653e-01,1.645628e+00
4.585415e-01,1.514189e+00,4.786327e-01,1.486257e+00
4.865135e-01,1.455645e+00,5.088980e-01,1.402609e+00
4.995005e-01,1.427165e+00,5.291837e-01,1.347386e+00
4.965035e-01,1.406492e+00,5.411020e-01,1.310153e+00
5.154845e-01,1.390589e+00,5.498367e-01,1.285524e+00
5.094905e-01,1.378932e+00,5.594490e-01,1.260646e+00
5.184815e-01,1.377259e+00,5.665714e-01,1.240462e+00
5.184815e-01,1.373819e+00,5.727347e-01,1.221347e+00
5.344655e-01,1.377780e+00,5.764490e-01,1.209444e+00
5.294705e-01,1.380372e+00,5.818163e-01,1.194133e+00
5.364635e-01,1.378001e+00,5.857347e-01,1.182685e+00
5.374625e-01,1.382600e+00,5.904694e-01,1.171745e+00
5.324675e-01,1.387295e+00,5.946939e-01,1.159095e+00
5.344655e-01,1.391232e+00,5.985918e-01,1.147161e+00
5.374625e-01,1.395631e+00,6.017959e-01,1.139666e+00
5.334665e-01,1.397568e+00,6.064898e-01,1.125120e+00
5.324675e-01,1.405615e+00,6.106735e-01,1.113209e+00
5.344655e-01,1.408129e+00,6.134286e-01,1.104355e+00
5.204795e-01,1.413758e+00,6.169592e-01,1.092708e+00
5.224775e-01,1.417996e+00,6.203265e-01,1.082698e+00
5.274725e-01,1.423153e+00,6.245510e-01,1.070580e+00
5.284715e-01,1.427454e+00,6.285510e-01,1.060067e+00
5.264735e-01,1.430847e+00,6.317347e-01,1.050228e+00
5.254745e-01,1.430715e+00,6.366531e-01,1.038986e+00
5.314685e-01,1.430405e+00,6.403469e-01,1.030285e+00
5.294705e-01,1.432015e+00,6.428776e-01,1.023256e+00
5.304695e-01,1.429599e+00,6.463061e-01,1.014242e+00
5.314685e-01,1.430905e+00,6.490816e-01,1.007953e+00
5.304695e-01,1.433302e+00,6.507551e-01,1.002312e+00
