Accuracy(test), Cost(test)
1.938062e-01,2.268540e+00
2.307692e-01,2.023754e+00
2.957043e-01,1.909241e+00
3.386613e-01,1.837390e+00
3.666334e-01,1.777588e+00
3.936064e-01,1.731922e+00
4.085914e-01,1.694965e+00
4.165834e-01,1.665489e+00
4.185814e-01,1.641759e+00
4.305694e-01,1.623073e+00
4.335664e-01,1.609381e+00
4.365634e-01,1.598040e+00
4.315684e-01,1.589604e+00
4.415584e-01,1.582622e+00
4.495504e-01,1.576816e+00
4.515485e-01,1.572331e+00
4.535465e-01,1.568455e+00
4.575425e-01,1.565841e+00
4.555445e-01,1.563756e+00
4.565435e-01,1.561929e+00
4.545455e-01,1.559869e+00
4.565435e-01,1.558235e+00
4.585415e-01,1.556588e+00
4.625375e-01,1.555639e+00
4.645355e-01,1.554370e+00
4.635365e-01,1.553820e+00
4.625375e-01,1.553052e+00
4.615385e-01,1.553389e+00
4.625375e-01,1.553651e+00
4.605395e-01,1.553407e+00
4.585415e-01,1.554263e+00
4.565435e-01,1.555166e+00
4.575425e-01,1.555790e+00
4.575425e-01,1.556074e+00
4.575425e-01,1.557217e+00
4.555445e-01,1.557891e+00
4.555445e-01,1.558818e+00
4.575425e-01,1.559753e+00
4.585415e-01,1.560651e+00
4.585415e-01,1.561533e+00
4.565435e-01,1.562499e+00
4.575425e-01,1.563294e+00
4.565435e-01,1.564335e+00
4.555445e-01,1.565043e+00
4.555445e-01,1.565967e+00
4.545455e-01,1.566686e+00
4.545455e-01,1.567425e+00
4.555445e-01,1.568260e+00
4.525475e-01,1.568879e+00
4.545455e-01,1.569547e+00
