batch size: 200, eta: 0.0449, epochs: 30, lambda: 4.419090e-09, nodes: 50, rho: 0.90, eta_decay: 0.10, eta_rate: 10
test_accuracy, test_cost, train_accuracy, train_cost
4.065934e-01,1.647647e+00,4.208980e+01,1.640292e+00
4.645355e-01,1.517074e+00,4.750816e+01,1.484094e+00
4.755245e-01,1.483456e+00,5.006939e+01,1.412205e+00
4.845155e-01,1.458239e+00,5.216122e+01,1.362749e+00
4.895105e-01,1.439698e+00,5.336939e+01,1.325869e+00
4.925075e-01,1.429070e+00,5.435306e+01,1.296722e+00
4.935065e-01,1.413188e+00,5.557755e+01,1.265364e+00
5.014985e-01,1.411273e+00,5.637959e+01,1.244390e+00
5.084915e-01,1.417123e+00,5.697959e+01,1.227043e+00
5.124875e-01,1.413962e+00,5.784898e+01,1.207167e+00
5.164835e-01,1.349805e+00,6.057755e+01,1.132146e+00
5.134865e-01,1.352185e+00,6.099592e+01,1.121520e+00
5.094905e-01,1.353779e+00,6.116939e+01,1.114421e+00
5.094905e-01,1.355011e+00,6.135102e+01,1.108768e+00
5.084915e-01,1.356792e+00,6.154490e+01,1.103865e+00
5.094905e-01,1.358234e+00,6.169388e+01,1.098965e+00
5.074925e-01,1.359249e+00,6.188980e+01,1.094489e+00
5.094905e-01,1.360769e+00,6.198776e+01,1.090315e+00
5.094905e-01,1.362294e+00,6.211020e+01,1.086264e+00
5.094905e-01,1.363547e+00,6.217347e+01,1.082525e+00
5.114885e-01,1.361163e+00,6.254082e+01,1.075900e+00
5.064935e-01,1.360844e+00,6.261429e+01,1.074382e+00
5.074925e-01,1.361006e+00,6.265102e+01,1.073520e+00
5.094905e-01,1.361145e+00,6.267347e+01,1.072839e+00
5.074925e-01,1.361375e+00,6.268367e+01,1.072248e+00
5.074925e-01,1.361649e+00,6.271224e+01,1.071702e+00
5.064935e-01,1.361953e+00,6.276327e+01,1.071177e+00
5.064935e-01,1.362148e+00,6.278776e+01,1.070677e+00
5.054945e-01,1.362393e+00,6.280000e+01,1.070185e+00
5.054945e-01,1.362538e+00,6.281837e+01,1.069702e+00
5.164835e+01, 1.349804e+00, 6.057755e+01, 1.132146e+00
