batch_size: 100, epochs: 50, hidden: 50, rho: 9.000000e-01, decay: 9.500000e-01
eta, lambda, accuracy, cost
5.631695e-02, 2.384490e-14, 4.215784e+01, 1.698362e+00
8.379406e-02, 2.076631e-12, 4.135864e+01, 1.779096e+00
9.257633e-02, 5.570053e-14, 4.255744e+01, 1.730470e+00
7.276485e-02, 1.826042e-14, 4.145854e+01, 1.720399e+00
7.408949e-02, 4.004476e-11, 4.115884e+01, 1.722094e+00
5.616069e-02, 8.264927e-13, 4.215784e+01, 1.710490e+00
5.653934e-02, 3.062333e-12, 4.125874e+01, 1.716218e+00
7.340515e-02, 8.633731e-14, 4.205794e+01, 1.730761e+00
5.118764e-02, 1.352632e-12, 4.265734e+01, 1.798468e+00
6.477132e-02, 2.245671e-13, 4.255744e+01, 1.782415e+00
5.427607e-02, 1.442832e-14, 4.105894e+01, 1.706498e+00
5.972440e-02, 3.002634e-13, 4.285714e+01, 1.710008e+00
9.467123e-02, 4.454694e-12, 4.115884e+01, 1.739419e+00
7.749522e-02, 4.705284e-12, 4.155844e+01, 1.734507e+00
5.952248e-02, 6.040423e-12, 4.305694e+01, 1.689316e+00
6.092353e-02, 2.530864e-11, 4.165834e+01, 1.728272e+00
6.088867e-02, 2.041633e-12, 4.185814e+01, 1.704409e+00
7.355151e-02, 4.872545e-12, 4.285714e+01, 1.792068e+00
5.625191e-02, 2.630817e-11, 4.225774e+01, 1.715120e+00
6.826906e-02, 1.885235e-14, 4.345654e+01, 1.728870e+00
5.005768e-02, 2.782800e-12, 4.245754e+01, 1.792626e+00
5.629524e-02, 1.274853e-11, 4.095904e+01, 1.707174e+00
5.797839e-02, 3.311993e-12, 4.245754e+01, 1.707058e+00
6.030764e-02, 1.405083e-11, 4.195804e+01, 1.717756e+00
8.934849e-02, 1.234208e-13, 4.045954e+01, 1.738033e+00
5.646858e-02, 8.522861e-14, 4.065934e+01, 1.712772e+00
6.014804e-02, 2.229451e-13, 4.215784e+01, 1.803299e+00
8.291639e-02, 1.637221e-12, 4.165834e+01, 1.792305e+00
7.044614e-02, 2.654426e-13, 4.095904e+01, 1.727897e+00
7.337395e-02, 1.283341e-14, 4.295704e+01, 1.711757e+00
6.756558e-02, 4.469871e-11, 4.135864e+01, 1.716852e+00
5.571851e-02, 1.305520e-14, 4.205794e+01, 1.862253e+00
9.419256e-02, 1.514660e-13, 4.165834e+01, 1.735060e+00
8.895292e-02, 8.073917e-14, 4.065934e+01, 1.791676e+00
6.204106e-02, 3.553207e-14, 4.185814e+01, 1.884283e+00
7.743199e-02, 7.528406e-11, 4.095904e+01, 1.799875e+00
9.794891e-02, 1.348016e-14, 4.135864e+01, 1.730079e+00
9.720022e-02, 2.260136e-11, 4.245754e+01, 1.741846e+00
7.984519e-02, 1.039882e-14, 4.165834e+01, 1.746540e+00
7.711199e-02, 9.818052e-13, 4.215784e+01, 1.800284e+00
8.071569e-02, 8.669117e-11, 4.155844e+01, 1.767022e+00
6.580436e-02, 9.732538e-12, 4.125874e+01, 1.829510e+00
6.404390e-02, 1.114295e-14, 4.205794e+01, 1.774326e+00
5.811665e-02, 9.536974e-13, 4.215784e+01, 1.862726e+00
8.313977e-02, 1.849488e-12, 4.035964e+01, 1.785505e+00
8.955592e-02, 4.381109e-11, 4.305694e+01, 1.772672e+00
5.299492e-02, 1.747662e-11, 4.185814e+01, 1.722938e+00
5.465413e-02, 1.398313e-11, 4.235764e+01, 1.700380e+00
6.388538e-02, 7.124704e-13, 4.205794e+01, 1.730344e+00
5.401454e-02, 1.087610e-11, 4.235764e+01, 1.719972e+00
7.749834e-02, 1.121589e-11, 4.115884e+01, 1.735099e+00
9.710933e-02, 1.537619e-12, 4.195804e+01, 1.722587e+00
8.376301e-02, 3.360016e-12, 4.105894e+01, 1.784509e+00
7.138653e-02, 5.549068e-12, 4.225774e+01, 1.738629e+00
9.623676e-02, 5.759957e-13, 4.195804e+01, 1.745284e+00
9.174811e-02, 8.139975e-13, 4.265734e+01, 1.787904e+00
6.472587e-02, 5.160272e-14, 4.205794e+01, 1.739995e+00
6.741410e-02, 3.222304e-11, 4.265734e+01, 1.694792e+00
6.304910e-02, 8.647027e-12, 4.175824e+01, 1.813408e+00
9.556682e-02, 1.486989e-11, 4.155844e+01, 1.726071e+00
6.161971e-02, 3.459075e-13, 4.205794e+01, 1.721311e+00
5.277332e-02, 3.301573e-12, 4.275724e+01, 1.735985e+00
5.695279e-02, 5.984307e-14, 4.245754e+01, 1.771544e+00
9.463506e-02, 9.544614e-13, 4.315684e+01, 1.825708e+00
5.909296e-02, 2.535187e-13, 4.145854e+01, 1.699192e+00
8.654712e-02, 1.381073e-13, 4.175824e+01, 1.717417e+00
8.879925e-02, 1.019106e-12, 4.125874e+01, 1.757693e+00
6.337206e-02, 7.410221e-11, 4.195804e+01, 1.723026e+00
6.794466e-02, 1.979080e-13, 4.295704e+01, 1.679702e+00
6.613621e-02, 7.419254e-11, 4.085914e+01, 1.710910e+00
5.090938e-02, 7.916804e-11, 4.235764e+01, 1.711430e+00
6.526910e-02, 8.334238e-12, 4.215784e+01, 1.722315e+00
7.169486e-02, 4.224998e-14, 4.185814e+01, 1.760172e+00
7.123492e-02, 6.368648e-11, 4.215784e+01, 2.022728e+00
9.876664e-02, 3.548703e-13, 4.185814e+01, 1.845911e+00
7.914753e-02, 3.980768e-11, 4.205794e+01, 1.721903e+00
5.191777e-02, 1.270082e-12, 4.295704e+01, 1.702162e+00
5.645708e-02, 3.710700e-14, 4.195804e+01, 1.719671e+00
