eta, lambda, accuracy, cost
1.041017e-01, 2.196327e-14, 5.104895e+01, 1.345720e+00
1.034666e-01, 5.224026e-07, 5.184815e+01, 1.396872e+00
9.142054e-02, 9.342100e-08, 5.254745e+01, 1.332969e+00
1.034651e-01, 1.593871e-06, 5.224775e+01, 1.357207e+00
9.071670e-02, 3.574311e-04, 5.104895e+01, 1.363310e+00
1.083722e-01, 3.553964e-08, 5.104895e+01, 1.405109e+00
1.071652e-01, 8.818642e-10, 5.334665e+01, 1.353664e+00
1.016922e-01, 4.034660e-11, 5.184815e+01, 1.356887e+00
1.099581e-01, 3.699399e-06, 5.224775e+01, 1.367327e+00
1.014185e-01, 3.534839e-05, 5.134865e+01, 1.415093e+00
1.045588e-01, 7.769605e-12, 5.294705e+01, 1.378674e+00
9.324924e-02, 8.976472e-04, 5.184815e+01, 1.399593e+00
9.700966e-02, 3.046848e-04, 5.174825e+01, 1.385569e+00
9.746735e-02, 4.345156e-06, 5.164835e+01, 1.393253e+00
1.070371e-01, 9.991276e-08, 5.264735e+01, 1.367745e+00
9.518658e-02, 7.816400e-06, 5.264735e+01, 1.357974e+00
9.238810e-02, 2.120607e-09, 5.214785e+01, 1.361306e+00
9.243855e-02, 7.342850e-05, 5.154845e+01, 1.391967e+00
1.028770e-01, 4.715205e-05, 5.254745e+01, 1.363796e+00
9.878649e-02, 2.793341e-06, 5.244755e+01, 1.369540e+00
9.205436e-02, 3.577277e-13, 5.224775e+01, 1.331108e+00
9.707754e-02, 3.004865e-06, 5.144855e+01, 1.356784e+00
9.329359e-02, 1.190839e-04, 5.224775e+01, 1.359658e+00
9.077367e-02, 8.019387e-09, 5.264735e+01, 1.326647e+00
1.047029e-01, 3.126586e-11, 5.334665e+01, 1.366984e+00
1.044583e-01, 1.352715e-12, 5.164835e+01, 1.369763e+00
1.047307e-01, 2.008795e-10, 5.334665e+01, 1.341216e+00
1.009864e-01, 6.987370e-08, 5.334665e+01, 1.335867e+00
9.071656e-02, 8.336026e-07, 5.184815e+01, 1.366857e+00
9.627491e-02, 3.190227e-05, 5.234765e+01, 1.374627e+00
9.812777e-02, 1.236907e-04, 5.374625e+01, 1.319600e+00
9.002165e-02, 1.978736e-11, 5.174825e+01, 1.376744e+00
9.780113e-02, 2.233634e-10, 5.354645e+01, 1.347175e+00
1.006946e-01, 9.319315e-06, 5.194805e+01, 1.358310e+00
9.468156e-02, 9.010738e-14, 5.204795e+01, 1.377535e+00
1.090461e-01, 4.483220e-14, 5.374625e+01, 1.375583e+00
1.090438e-01, 3.523125e-12, 5.294705e+01, 1.348074e+00
1.044366e-01, 1.769117e-10, 5.094905e+01, 1.408515e+00
1.018088e-01, 2.438683e-11, 5.204795e+01, 1.368968e+00
9.664834e-02, 5.377762e-04, 5.024975e+01, 1.378200e+00
9.544811e-02, 2.603837e-14, 5.274725e+01, 1.379255e+00
1.039082e-01, 1.380128e-07, 5.424575e+01, 1.324008e+00
1.080086e-01, 4.857693e-04, 5.094905e+01, 1.394583e+00
9.778856e-02, 1.768442e-07, 5.254745e+01, 1.394055e+00
9.831645e-02, 5.059217e-09, 5.194805e+01, 1.371454e+00
1.028186e-01, 2.411894e-04, 5.144855e+01, 1.375136e+00
9.095519e-02, 2.177293e-13, 5.344655e+01, 1.335937e+00
1.047042e-01, 1.142718e-05, 5.524476e+01, 1.350019e+00
9.739830e-02, 3.661659e-05, 5.294705e+01, 1.354312e+00
9.633295e-02, 1.530369e-12, 5.204795e+01, 1.355909e+00
9.813337e-02, 4.623954e-11, 5.274725e+01, 1.396401e+00
1.051722e-01, 2.238659e-13, 5.244755e+01, 1.377385e+00
9.835113e-02, 1.092858e-12, 5.334665e+01, 1.376576e+00
1.008055e-01, 2.802576e-08, 5.044955e+01, 1.382721e+00
9.472189e-02, 6.508636e-13, 5.364635e+01, 1.371913e+00
9.861403e-02, 1.333002e-14, 5.144855e+01, 1.375123e+00
9.264837e-02, 4.841651e-10, 5.314685e+01, 1.381326e+00
9.029897e-02, 4.028966e-13, 5.344655e+01, 1.362109e+00
9.132668e-02, 2.751510e-09, 5.214785e+01, 1.355696e+00
1.009144e-01, 1.613195e-14, 5.224775e+01, 1.343470e+00
1.045171e-01, 2.369416e-04, 5.304695e+01, 1.358283e+00
1.039441e-01, 1.223144e-13, 5.244755e+01, 1.372391e+00
9.718081e-02, 3.682746e-07, 5.314685e+01, 1.364991e+00
1.030871e-01, 2.769883e-06, 5.244755e+01, 1.348889e+00
1.011064e-01, 2.905740e-13, 5.244755e+01, 1.341567e+00
9.702034e-02, 1.698855e-11, 5.234765e+01, 1.367343e+00
1.064205e-01, 2.514052e-06, 5.234765e+01, 1.354227e+00
1.052807e-01, 3.945398e-11, 5.264735e+01, 1.398812e+00
1.003869e-01, 1.453763e-13, 5.344655e+01, 1.371405e+00
1.072002e-01, 1.292900e-13, 5.134865e+01, 1.390999e+00
9.297172e-02, 1.341395e-07, 5.274725e+01, 1.366149e+00
1.052615e-01, 3.020986e-09, 5.284715e+01, 1.355558e+00
9.893088e-02, 2.933055e-12, 5.234765e+01, 1.353640e+00
